City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Walvis Bay,NA,-22.9575,14.5053,72.55,49,0,9.22,clear sky
126,Sept-Iles,CA,50.2001,-66.3821,52.32,99,100,3.44,mist
127,Medea,DZ,36.2642,2.7539,71.33,31,4,14.2,clear sky
128,Hobart,AU,-42.8794,147.3294,49.26,91,100,3.44,overcast clouds
129,Port Alfred,ZA,-33.5906,26.891,70.7,77,97,8.79,overcast clouds
130,Oksfjord,NO,70.2396,22.3479,51.98,88,59,7.23,broken clouds
131,Lavrentiya,RU,65.5833,-171.0,36.45,86,100,12.93,overcast clouds
132,Manokwari,ID,-0.8667,134.0833,78.49,75,100,3.31,overcast clouds
133,Broome,US,42.2506,-75.833,57.09,90,100,8.05,overcast clouds
134,Morondava,MG,-20.2833,44.2833,78.03,78,0,12.35,clear sky
135,Disraeli,CA,45.9001,-71.3491,56.21,88,100,1.01,overcast clouds
136,Kovdor,RU,67.5662,30.4758,43.66,86,89,6.49,overcast clouds
137,Hokitika,NZ,-42.7167,170.9667,55.62,95,100,13.47,overcast clouds
138,Saskylakh,RU,71.9167,114.0833,17.64,96,94,6.4,overcast clouds
139,Thompson,CA,55.7435,-97.8558,50.16,76,75,5.75,broken clouds
140,Benghazi,LY,32.1167,20.0667,83.28,59,70,14.14,broken clouds
141,Manta,EC,-0.95,-80.7333,71.38,88,100,6.91,overcast clouds
142,Kavieng,PG,-2.5744,150.7967,82.47,69,100,15.97,overcast clouds
143,Houma,US,29.5958,-90.7195,73.99,58,0,8.05,clear sky
144,Namatanai,PG,-3.6667,152.4333,79.23,76,95,10.09,overcast clouds
145,Saldanha,ZA,-33.0117,17.9442,71.65,69,100,17.05,overcast clouds
146,Yar-Sale,RU,66.8333,70.8333,31.08,75,100,10.78,overcast clouds
147,Margate,GB,51.3813,1.3862,57.31,65,72,4.0,broken clouds
148,Sao Filipe,CV,14.8961,-24.4956,80.96,76,79,3.18,light rain
149,La Ronge,CA,55.1001,-105.2842,55.62,62,20,8.05,few clouds
150,Codrington,AU,-38.2667,141.9667,52.18,72,100,6.46,overcast clouds
151,Severo-Kurilsk,RU,50.6789,156.125,49.59,69,100,11.34,overcast clouds
152,Sioux Lookout,CA,50.1001,-91.917,42.87,81,40,6.91,scattered clouds
153,Peranamallur,IN,12.5667,79.4333,84.83,63,100,5.39,overcast clouds
154,Pauini,BR,-7.7136,-66.9764,99.48,31,88,4.27,overcast clouds
155,Narsaq,GL,60.9167,-46.05,43.02,85,100,4.65,overcast clouds
156,Seinajoki,FI,62.7945,22.8282,49.98,85,75,3.44,broken clouds
157,Souillac,MU,-20.5167,57.5167,71.98,64,40,12.66,scattered clouds
158,Sitka,US,57.0531,-135.33,49.89,87,20,0.0,few clouds
159,Nanortalik,GL,60.1432,-45.2371,43.74,88,100,4.88,overcast clouds
160,Lichuan,CN,30.3,108.85,53.4,96,63,0.76,broken clouds
161,Thunder Bay,CA,48.4001,-89.3168,35.58,80,20,5.75,few clouds
162,Saint-Philippe,RE,-21.3585,55.7679,71.19,74,41,9.84,scattered clouds
163,Okha,RU,53.5739,142.9478,43.9,64,95,18.9,overcast clouds
164,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,2.3,broken clouds
165,Bayshore Gardens,US,27.4253,-82.5904,74.17,90,100,27.63,heavy intensity rain
166,Xingtai,CN,37.0631,114.4942,73.06,34,0,4.88,clear sky
167,Prince Rupert,CA,54.3161,-130.3201,57.29,100,100,8.05,overcast clouds
168,Pevek,RU,69.7008,170.3133,26.11,69,100,1.1,overcast clouds
169,Marfino,RU,55.7028,37.3822,50.16,83,100,4.47,overcast clouds
170,Necochea,AR,-38.5473,-58.7368,58.84,28,0,3.89,clear sky
171,Jiuquan,CN,39.7432,98.5174,64.44,21,0,4.88,clear sky
172,Kroya,ID,-7.6331,109.2461,77.36,82,100,6.08,overcast clouds
173,Emirdag,TR,39.0197,31.15,72.7,47,73,17.81,broken clouds
174,Tumbotino,RU,55.9993,43.0236,49.14,96,100,12.33,light rain
175,Moses Lake,US,47.1301,-119.2781,54.28,71,0,3.44,clear sky
176,Lahij,YE,13.1667,44.5833,92.62,31,24,10.58,few clouds
177,Sobolevo,RU,54.4299,31.8996,48.67,82,100,5.53,overcast clouds
178,Awbari,LY,26.5921,12.7805,101.82,10,2,8.59,clear sky
179,Semirom,IR,31.4167,51.5667,66.67,12,0,10.51,clear sky
180,San Lorenzo,PY,-25.3333,-57.5333,70.74,68,75,8.05,broken clouds
181,Tessalit,ML,20.1986,1.0114,106.52,8,18,6.62,few clouds
182,Luan,CH,46.3592,6.9759,49.57,89,100,1.99,light rain
183,Nikolskoye,RU,59.7035,30.7861,49.91,85,99,8.25,overcast clouds
184,Matagami,CA,49.7502,-77.6328,42.91,87,100,14.97,overcast clouds
185,Cape Coast,GH,5.1053,-1.2466,79.0,79,76,12.77,light rain
186,Hamilton,US,39.1834,-84.5333,56.98,76,0,9.22,clear sky
187,Provideniya,RU,64.3833,-173.3,35.38,97,100,8.12,moderate rain
188,Waddan,LY,29.1614,16.139,103.42,12,7,4.27,clear sky
189,Lebu,CL,-37.6167,-73.65,57.76,63,0,11.56,clear sky
190,Lleida,ES,41.6167,0.6167,77.2,41,20,32.21,few clouds
191,Puerto Gaitan,CO,4.3133,-72.0816,86.11,66,96,7.09,overcast clouds
192,Baie-Comeau,CA,49.2168,-68.1489,53.28,100,100,0.0,overcast clouds
193,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,8.05,overcast clouds
194,Lorengau,PG,-2.0226,147.2712,82.04,71,99,11.52,overcast clouds
195,Naze,JP,28.3667,129.4833,72.52,81,7,5.12,clear sky
