,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Yong Peng,MY,75.16,overcast clouds,2.0136,103.0659,MH Hotel Yong Peng
225,Kapit,MY,75.6,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
227,Kota Kinabalu,MY,79.88,few clouds,5.9749,116.0724,Gaya Centre Hotel
233,Aguimes,ES,75.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
236,Nador,MA,86.07,few clouds,35.174,-2.9287,Hôtel La Giralda
237,San Patricio,US,78.91,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
238,Tanete,ID,75.47,broken clouds,-3.9443,119.7848,Wisma Tri Multi
239,Uyovu,TZ,86.11,overcast clouds,-3.2833,31.5258,
241,Beroroha,MG,85.93,clear sky,-21.6667,45.1667,
242,Lingao,CN,78.89,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
244,Pilar,BR,82.33,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
249,Merauke,ID,78.91,overcast clouds,-8.4667,140.3333,
253,Kieta,PG,77.99,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
260,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
271,Palu,ID,76.28,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
274,Sinjar,IQ,84.47,clear sky,36.3209,41.8754,زوماني فون 1
280,Divo,CI,76.17,moderate rain,5.8397,-5.36,Hôtel IROKO
283,Alice Town,BS,82.51,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
289,Maragogi,BR,80.51,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
290,Tambun,ID,81.03,few clouds,-6.2641,107.0712,Metland Hotel Bekasi
294,Houston,US,78.98,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
295,Am Timan,TD,81.48,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
