City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Shahr-E Babak,IR,2022-09-24 14:39:20,30.1165,55.1186,77.63,13,0,9.8
229,Taoudenni,ML,2022-09-24 14:39:21,22.6783,-3.9836,109.99,11,57,7.02
230,Lata,PT,2022-09-24 14:39:21,40.1629,-8.3327,75.07,37,0,13.11
231,Santa Maria,BR,2022-09-24 14:39:22,-29.6842,-53.8069,63.7,45,0,8.05
232,Bundaberg,AU,2022-09-24 14:39:22,-24.85,152.35,62.22,95,0,5.95
233,Manavalakurichi,IN,2022-09-24 14:39:23,8.1333,77.3,79.77,81,22,15.95
234,Charleston,US,2022-09-24 14:39:23,32.7766,-79.9309,79.02,57,0,5.75
235,Seversk,RU,2022-09-24 14:39:23,56.6006,84.8864,45.55,87,100,4.38
236,Nemuro,JP,2022-09-24 14:39:24,43.3236,145.575,62.38,92,79,10.42
237,Iqaluit,CA,2022-09-24 14:39:24,63.7506,-68.5145,33.53,74,20,8.05
238,Torit,SS,2022-09-24 14:39:25,4.4133,32.5678,83.44,56,49,5.23
239,Kayerkan,RU,2022-09-24 14:39:25,69.3497,87.7602,28.53,100,99,16.46
240,Arbagar,RU,2022-09-24 14:39:26,51.9438,116.2805,40.41,56,36,5.1
241,Bisira,PA,2022-09-24 14:39:26,8.5196,-81.7115,70.66,70,94,0.27
242,Guerrero Negro,MX,2022-09-24 14:39:26,27.9769,-114.0611,73.94,73,0,9.22
243,Bandarbeyla,SO,2022-09-24 14:39:27,9.4942,50.8122,77.14,86,99,24.76
244,Salym,RU,2022-09-24 14:39:27,60.0625,71.4789,37.76,85,14,4.03
245,Vrangel,RU,2022-09-24 14:39:28,42.7297,133.0839,56.17,82,0,7.4
246,Marawi,PH,2022-09-24 14:39:28,7.9986,124.2928,69.4,94,100,4.61
247,Quirinopolis,BR,2022-09-24 14:39:29,-18.4483,-50.4517,82.35,21,6,5.08
248,San Patricio,US,2022-09-24 14:39:29,28.017,-97.5169,85.89,63,72,6.67
249,Saint George,US,2022-09-24 14:39:30,37.1041,-113.5841,61.39,44,0,0.0
250,Kidal,ML,2022-09-24 14:39:30,18.4411,1.4078,104.34,13,50,4.5
251,Jaciara,BR,2022-09-24 14:39:30,-15.9653,-54.9683,94.03,30,93,2.95
252,Ostrovnoy,RU,2022-09-24 14:39:31,68.0531,39.5131,40.89,75,100,12.15
253,Kemijarvi,FI,2022-09-24 14:39:31,66.7131,27.4306,48.15,63,95,5.66
254,Kodiak,US,2022-09-24 14:39:32,57.79,-152.4072,42.31,81,75,0.0
255,Christchurch,NZ,2022-09-24 14:35:46,-43.5333,172.6333,49.91,83,75,4.61
256,Clyde River,CA,2022-09-24 14:39:32,70.4692,-68.5914,28.63,64,75,2.3
257,Naila,DE,2022-09-24 14:39:33,50.3167,11.7,64.62,56,0,5.75
258,Shakawe,BW,2022-09-24 14:39:33,-18.3667,21.85,98.1,10,10,11.18
259,Solnechnyy,RU,2022-09-24 14:39:34,50.7214,136.6319,47.98,96,100,10.16
260,Penzance,GB,2022-09-24 14:37:20,50.1186,-5.5371,61.77,67,20,18.41
261,Ahipara,NZ,2022-09-24 14:39:35,-35.1667,173.1667,54.66,78,67,7.05
262,Mikulov,CZ,2022-09-24 14:39:35,48.8056,16.6378,63.97,92,99,4.76
263,Masterton,NZ,2022-09-24 14:39:35,-40.9597,175.6575,52.88,99,100,5.59
264,Bud,US,2022-09-24 14:39:36,39.447,-86.1758,60.89,83,89,11.12
265,Te Anau,NZ,2022-09-24 14:39:36,-45.4167,167.7167,44.11,96,98,1.43
266,Capinzal,BR,2022-09-24 14:39:36,-27.3436,-51.6119,67.6,39,0,2.62
267,Abu Samrah,SY,2022-09-24 14:39:37,35.3029,37.1841,78.06,41,0,17.72
268,Ponta Do Sol,PT,2022-09-24 14:39:37,32.6667,-17.1,75.83,69,100,5.55
269,Broome,US,2022-09-24 14:39:38,42.2506,-75.833,56.08,73,0,5.75
270,Port-Gentil,GA,2022-09-24 14:39:38,-0.7193,8.7815,78.76,89,100,14.97
271,Brownsville,US,2022-09-24 14:36:07,25.9018,-97.4975,86.92,81,0,2.3
272,Roald,NO,2022-09-24 14:39:39,62.5833,6.1333,56.75,71,75,4.61
273,Naryan-Mar,RU,2022-09-24 14:40:40,67.6713,53.087,37.22,71,83,8.34
274,Muros,ES,2022-09-24 14:40:41,42.7762,-9.0603,68.85,54,3,17.0
275,Atkinson,US,2022-09-24 14:40:41,42.8384,-71.147,59.45,54,0,16.11
276,Tezu,IN,2022-09-24 14:40:41,27.9167,96.1667,72.63,97,100,3.42
277,Fairbanks,US,2022-09-24 14:40:42,64.8378,-147.7164,39.31,94,100,4.61
278,Mount Gambier,AU,2022-09-24 14:40:42,-37.8333,140.7667,38.66,87,98,5.7
279,Beringovskiy,RU,2022-09-24 14:40:43,63.05,179.3167,36.93,86,55,13.13
